year,Antigua and Barbuda,Hong Kong,Macao,Seychelles,United Arab Emirates
1960,0.0,0.0,0.0,0.0,
1965,0.0,0.0,0.0,0.0,
1966,0.0,0.0,0.0,0.0,
1967,0.0,0.0,0.0,0.0,
1968,0.0,0.0,0.0,0.0,
1969,0.0,0.0,0.0,0.0,
1970,0.0,0.0,0.0,0.0,
1971,0.0,0.0,0.0,0.0,
1972,0.0,0.0,0.0,0.0,
1973,0.0,0.0,0.0,0.0,
1974,0.0,0.0,0.0,0.0,
1975,0.0,0.0,0.0,0.0,
1976,0.0,0.0,0.0,0.0,
1977,0.0,0.0,0.0,0.0,
1978,0.0,0.0,0.0,0.0,
1979,0.0,0.0,0.0,0.0,
1980,0.0,0.0,0.0,0.0,
1981,0.0,0.0,0.0,0.0,
1982,0.0,0.0,0.0,0.0,0.00019951089860393748
1983,0.0,0.0,0.0,0.0,0.00028766003109314045
1984,0.0,1.8525722966338762e-05,0.0,0.0,0.00037758029122599707
1985,0.0,8.064220519775669e-05,0.0,0.0,0.0005741060762459261
1986,0.0,0.0018100857980668285,0.0,0.0,0.007625807092953823
1987,0.0,0.005035391093987994,0.0,0.0,0.008693395367372101
1988,0.0,0.009115786480915489,0.0,0.0,0.008196326976428433
1989,0.0,0.015687102106855193,0.00040315886830934145,0.0,0.013896330029466917
1990,0.0,0.023490227013761064,0.0006367298923269765,0.0,0.017682805208638682
1991,0.0,0.03303198887343533,0.0013383371505836254,0.0,0.0214102588998214
1992,0.0,0.04016895095250409,0.028197760292182506,0.0,0.023107118268279787
1993,0.0,0.04931367564819522,0.039662527054571434,0.0,0.03175482754339976
1994,0.0,0.080359213970905,0.055044125325699175,0.0,0.03928684290071721
1995,0.0,0.12962752391936452,0.09051005821385082,6.639753532348879e-05,0.05299943960282467
1996,0.0018625175506461504,0.21132779115841815,0.11080962757576732,0.001360953714487614,0.07540613393917368
1997,0.001965795164143896,0.3436426116838488,0.12824872479961136,0.002910022116168083,0.1125224362090645
1998,0.0020669128589538665,0.4844354111588245,0.19604752898924485,0.006582451868198767,0.16877030464238155
1999,0.0115143387382994,0.647846817528192,0.27730906800652383,0.2027111055838826,0.26859824965626206
2000,0.2931183798547732,0.8177044261065266,0.326467482912553,0.32046936436134155,0.43659682847515047
2001,0.32801941874958995,0.8608492322356761,0.44179066409790446,0.4519593113470112,0.552950352006457
2002,0.4948507027657232,0.9489776248869383,0.6137902660869758,0.5339034673865007,0.6687481337661391
2003,0.5904578930515529,1.0919950080228205,0.7869708755915794,0.5943392807528297,0.7788237558552731
2004,0.684055180451223,1.2102896734723965,0.9084619444870871,0.6595938163079721,0.9215345854684514
2005,1.0767631997395735,1.2534491868725415,1.090829460172445,0.7096478312293321,1.0581657106190083
2006,1.359787378700785,1.3766752708871097,1.267278121718477,0.8309692671394799,1.1267711433910177
2007,1.3655872024970737,1.5615285629599642,1.5407602895232182,0.9090588359813249,1.3162770168837643
2008,1.6456258783678275,1.6671936531662308,1.7635784196976398,1.0752564515387093,1.339307752459869
2009,1.5969905600113563,1.8070215695273062,1.9152113822485686,1.2715067928245778,1.3387309631205895
2010,1.9604410992473307,1.9646365422396856,2.0097003931476394,1.3144703130221678,1.2851089707562253
2011,2.029309688800747,2.163583913117258,2.364260783218302,1.4524079093331503,1.3643988685984767
2012,1.4485480302027967,2.293674214346652,2.7626869103550997,1.5401515237307906,1.5926196619976367
2013,1.2881792603139088,2.36805081558456,2.8986777310768588,1.523085303894429,1.8396116842536212
2014,1.3447487561074005,2.3514765889757245,3.0786189911067634,1.6528201928655086,1.9013233550072879
2015,1.9568383718215274,2.290400888730405,3.0882307526018344,1.5842601612091758,2.0074243299155907
2016,1.9875447197561946,2.398931385110269,3.1435100081699345,1.6054585591009431,2.212521470630779
2017,2.0193373500587146,2.4887734675106854,3.210101955969928,1.742432937199378,2.1834311539896802
2018,2.008163621679436,2.670209054558141,3.3487406123894186,1.8498997540356752,2.1990840650758208
2019,1.9974597522715676,2.8636502883629245,3.284849160630631,1.9871959026888604,2.127738798785061
